"Name","Id","CPU","StartTime","Threads","Path"
"svchost","3388","0.0625","7/23/2025 6:29:43 AM","1","C:\Windows\system32\svchost.exe"
"svchost","3496",,,"2",
"svchost","3560",,,"5",
"svchost","3568",,,"8",
"svchost","3608",,,"4",
"svchost","3656",,,"3",
"svchost","3692",,,"13",
"svchost","3844",,,"10",
"svchost","3876",,,"5",
"svchost","3884",,,"18",
"svchost","4004",,,"3",
"svchost","4076",,,"7",
"svchost","4084",,,"4",
"svchost","4440",,,"8",
"svchost","4472",,,"4",
"svchost","4628",,,"3",
"svchost","5008",,,"8",
"svchost","5048",,,"5",
"svchost","5188",,,"13",
"svchost","5352",,,"5",
"svchost","5412",,,"7",
"svchost","5628",,,"10",
"svchost","6056",,,"5",
"svchost","6236","0.90625","7/23/2025 6:27:43 AM","9","C:\Windows\system32\svchost.exe"
"svchost","7628",,,"2",
"svchost","8240",,,"8",
"svchost","8400",,,"4",
"svchost","9112","4.375","7/23/2025 6:27:43 AM","11","C:\Windows\system32\svchost.exe"
"svchost","9988",,,"5",
"svchost","10272","0.125","7/23/2025 6:27:44 AM","12","C:\Windows\system32\svchost.exe"
"svchost","10844",,,"4",
"svchost","10924",,,"4",
"SysInfoCap","2080",,,"14",
"System","4",,,"159",
"taskhostw","2696","0.046875","7/23/2025 7:42:25 AM","6","C:\Windows\system32\taskhostw.exe"
"taskhostw","3276","0.359375","7/23/2025 6:27:43 AM","8","C:\Windows\system32\taskhostw.exe"
"TextInputHost","6592","0.9375","7/23/2025 6:28:30 AM","10","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"
"TouchpointAnalyticsClientService","2088",,,"10",
"unsecapp","3080",,,"3",
"UserOOBEBroker","2744","0.015625","7/23/2025 6:28:08 AM","1","C:\Windows\System32\oobe\UserOOBEBroker.exe"
"wininit","680",,,"1",
"winlogon","1084",,,"3",
"WmiPrvSE","3196",,,"6",
"WmiPrvSE","10600",,,"7",
"WMIRegistrationService","4044",,,"2",
"XtuService","3452",,,"8",
